% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
0.15,LUCA CN,LUCA MINING CORP,BMYD3C1,1.358785954864295,"8,534,485.00","11,596,538.35"
5.92,KGH PW,KGHM POLSKA MIEDZ SA,5263251,93.91038782871458,"4,753,516.00","446,404,531.11"
5.46,5713 JP,SUMITOMO METAL MINING CO LTD,6858849,60.67677946303559,"6,778,587.00","411,302,828.47"
5.44,LUN CN,LUNDIN MINING CORP,2866857,25.36646604900643,"16,158,614.00","409,886,933.43"
5.35,BOL SS,BOLIDEN AB,BPYTZ57,70.78426388735434,"5,692,967.00","402,972,478.43"
4.82,GLEN LN,GLENCORE PLC,B4T3BW6,6.850959889060471,"53,010,501.00","363,172,816.05"
4.81,SCCO,SOUTHERN COPPER CORP,2823777,190.3199996516925,"1,906,361.20","362,818,662.92"
4.76,FCX,FREEPORT-MCMORAN INC,2352118,60.23,"5,960,966.00","359,028,982.18"
4.62,HBM CN,HUDBAY MINERALS INC,B05BDX1,23.81567773134953,"14,618,735.00","348,155,081.60"
4.57,ANTO LN,ANTOFAGASTA PLC,0045614,50.05969289044281,"6,883,537.00","344,587,748.22"
4.18,FM CN,FIRST QUANTUM MINERALS LTD,2347608,28.42373444585492,"11,095,515.00","315,375,971.90"
4.17,2899 HK,ZIJIN MINING GROUP CO LTD-H,6725299,5.365122860025044,"58,531,935.00","314,031,022.51"
4.08,BHP AU,BHP GROUP LTD,6144690,35.42681004602213,"8,682,561.00","307,595,439.26"
4.07,TECK/B CN,TECK RESOURCES LTD-CLS B,2879327,53.96743344601165,"5,681,365.00","306,608,687.52"
3.95,IVN CN,IVANHOE MINES LTD-CL A,BD73C40,12.7164642026541,"23,435,243.00","298,013,428.69"
3.24,2099 HK,CHINA GOLD INTERNATIONAL RES,B60FNV8,26.27501696592631,"9,306,300.00","244,523,190.39"
3.23,SFR AU,SANDFIRE RESOURCES LTD,6739739,13.90591614420098,"17,508,008.00","243,464,891.10"
3.15,358 HK,JIANGXI COPPER CO LTD-H,6000305,6.077058017658854,"39,115,901.00","237,709,599.79"
3.13,CS CN,CAPSTONE COPPER CORP,BMY5XY9,11.14352176622779,"21,200,527.00","236,248,534.08"
2.94,NDA GR,AURUBIS AG,5485527,190.8206238576541,"1,160,441.00","221,436,075.57"
2.66,1208 HK,MMG LTD,6728793,1.317592225045733,"151,946,360.00","200,203,342.56"
1.82,5711 JP,MITSUBISHI MATERIALS CORP,6597089,28.83443536951662,"4,760,246.00","137,259,005.63"
1.62,ERO CN,ERO COPPER CORP,BF02Z72,33.73333825535194,"3,629,947.00","122,450,230.00"
1.36,NGEX CN,NGEX MINERALS LTD,BVBCQW5,20.7953328657598,"4,921,864.00","102,351,800.20"
1.33,1258 HK,CHINA NONFERROUS MINING CORP,B890GY2,2.010320498843971,"49,955,500.00","100,426,565.68"
1.18,TGB,TASEKO MINES LTD,2592066,7.619999999999999,"11,668,880.00","88,916,865.60"
0.96,3939 HK,WANGUO GOLD GROUP LTD,BV106D0,1.594171350935417,"45,251,460.00","72,138,581.12"
0.84,IE,IVANHOE ELECTRIC INC / US,BPF0KH6,17.09,"3,723,118.00","63,628,086.62"
0.83,AMAK AB,AL MASANE AL KOBRA MINING CO,BNNVLT6,31.14085370519453,"2,007,344.00","62,510,405.84"
0.70,ATYM LN,ATALAYA MINING COPPER SA,BYZTVM8,14.10673363321119,"3,741,968.00","52,786,945.84"
0.64,1515 JP,NITTETSU MINING CO LTD,6641027,23.53169972554586,"2,052,802.00","48,305,920.26"
0.61,FOM CN,FORAN MINING CORPORATION,2355731,4.866521434129647,"9,432,620.00","45,904,047.41"
0.60,ALS CN,ALTIUS MINERALS CORPORATION,2122355,31.82808403540339,"1,427,208.00","45,425,296.16"
0.55,NDM CN,NORTHERN DYNASTY MINERALS,2637848,2.05294834414704,"20,345,013.00","41,767,260.75"
0.44,CNL CN,COLLECTIVE MINING LTD,BN79Z49,16.54174205388085,"2,012,366.00","33,288,039.29"
0.42,SLS CN,SOLARIS RESOURCES INC,BMQ5701,9.282575784981162,"3,378,011.00","31,356,643.11"
0.35,DVP AU,DEVELOP GLOBAL LTD,BNVQGB0,3.691898140260888,"7,166,973.00","26,459,734.29"
0.28,SOLG LN,SOLGOLD PLC,B0WD0R3,0.3856023492897225,"54,654,136.00","21,074,763.24"
0.27,CAML LN,CENTRAL ASIA METALS PLC,B67KBV2,3.087563295757791,"6,550,360.00","20,224,651.11"
0.23,LUNR CN,LUNR ROYALTIES CORP,BRCDGF2,13.29247128897023,"1,273,704.75","16,930,683.82"
0.20,WA1 AU,WA1 RESOURCES LTD,BN10LP1,11.96539283664863,"1,277,363.00","15,284,150.09"