"NAME","TICKER","CUSIP","SHARES","PRICE","MARKET VALUE","WEIGHTINGS"
"Hecla Mining Co","HL","422704106","27291299.00000000","22.520000","614600053.48","11.97%"
"First Majestic Silver Corp","AG","32076V103","27505089.00000000","20.840000","573206054.76","11.17%"
"COEUR MINING INC.","CDE","192108504","20456453.00000000","20.440000","418129899.32","8.15%"
"Wheaton Precious Metals Corp","WPM","962879102","2148639.00000000","131.870000","283341024.93","5.52%"
"Endeavour Silver Corp","EXK","29258Y103","20558396.00000000","10.930000","224703268.28","4.38%"
"KGHM Polska Miedz SA","KGH PW","5263251","2122090.00000000","332.100000","199286294.91","3.88%"
"Perpetua Resources Corp","PPTA","714266103","6732866.00000000","26.620000","179228892.92","3.49%"
"Boliden AB","BOL SS","BPYTZ57","2517335.00000000","626.600000","178187704.93","3.47%"
"Pan American Silver Corp","PAAS","697900108","2847041.00000000","54.600000","155448438.60","3.03%"
"Cia de Minas Buenaventura SAA","BVN","204448104","4204093.00000000","34.260000","144032226.18","2.81%"
"SSR Mining Inc","SSRM","784730103","5888000.00000000","22.830000","134423040.00","2.62%"
"Seabridge Gold Inc","SA","811916105","4655521.00000000","28.260000","131565023.46","2.56%"
"OR Royalties Inc","OR","68390D106","3317498.00000000","39.440000","130842121.12","2.55%"
"Artemis Gold Inc","ARTG CN","BKLTQ63","4327334.00000000","39.480000","126162645.44","2.46%"
"Silvercorp Metals Inc","SVM","82835P103","12314342.00000000","10.070000","124005423.94","2.42%"
"Hycroft Mining Holding Corp","HYMC","44862P208","3223122.00000000","37.350000","120383606.70","2.35%"
"Aya Gold & Silver Inc","AYA CN","BK94091","6588280.00000000","22.100000","107522052.95","2.09%"
"Trilogy Metals Inc","TMQ","89621C105","21202090.00000000","5.040000","106858533.60","2.08%"
"Triple Flag Precious Metals Corp","TFPM","89679M104","3164163.00000000","33.720000","106695576.36","2.08%"
"Franco-Nevada Corp","FNV","351858105","455100.00000000","234.360000","106657236.00","2.08%"
"Fortuna Mining Corp","FSM","349942102","10880563.00000000","9.780000","106411906.14","2.07%"
"Skeena Resources Ltd","SKE CN","BMDM761","3415449.00000000","38.850000","97987810.55","1.91%"
"Royal Gold Inc","RGLD","780287108","336130.00000000","263.310000","88506390.30","1.72%"
"Vizsla Silver Corp","VZLA","92859G608","15559259.00000000","5.080000","79041035.72","1.54%"
"Fresnillo PLC","FRES LN","B2QPKJ1","1543706.00000000","37.020000","78421357.87","1.53%"
"Avino Silver & Gold Mines Ltd","ASM","053906103","8529284.00000000","8.990000","76678263.16","1.49%"
"Hochschild Mining PLC","HOC LN","B1FW502","7497957.00000000","6.760000","69554141.20","1.36%"
"Americas Gold & Silver Corp","USA CN","BVMJP62","6243917.00000000","10.090000","46524478.48","0.91%"
"Industrias Penoles SAB de CV","PE&OLES* MM","2448200","752143.00000000","1013.000000","43922341.56","0.86%"
"McEwen Inc","MUX","58039P305","1589065.00000000","24.150000","38375919.75","0.75%"
"AbraSilver Resource Corp","ABRA CN","BR4XSQ5","3915287.00000000","11.910000","34435674.16","0.67%"
"Santacruz Silver Mining Ltd","SCZ CN","BVV5T70","2043157.75000000","16.320000","24623811.60","0.48%"
"Western Copper & Gold Corp","WRN","95805V108","5533312.00000000","3.190000","17651265.28","0.34%"
"i-80 Gold Corp","IAUX","44955L106","9301254.00000000","1.590000","14788993.86","0.29%"
"Kingsgate Consolidated Ltd","KCN AU","6492731","3098105.00000000","6.520000","14150859.64","0.28%"
"GoGold Resources Inc","GGD CN","B60BNP0","5786874.00000000","3.190000","13632262.35","0.27%"
"Silver Mines Ltd","SVL AU","B1HMJH5","74781436.00000000","0.250000","13097032.47","0.26%"
"First Mining Gold Corp","FF CN","BFNW3J7","24922260.00000000","0.680000","12514962.74","0.24%"
"Heliostar Metals Ltd","HSTR CN","BMCKNF7","4952167.00000000","2.860000","10459105.43","0.20%"
"Guanajuato Silver Co Ltd","GSVR CN","BMDM727","16823428.00000000","0.800000","9938885.94","0.19%"
"Andean Precious Metals Corp","APM CN","BNDS6V4","1373458.00000000","8.720000","8844333.17","0.17%"
"Dolly Varden Silver Corp","DV CN","BS6ZTK7","1568508.00000000","6.360000","7366769.47","0.14%"
"Silver Storm Mining Ltd","SVRS CN","BSBJWM7","15114414.00000000","0.600000","6696930.47","0.13%"
"Aftermath Silver Ltd","AAG CN","BDFS6H8","8749636.00000000","0.950000","6138281.73","0.12%"
"Osisko Metals Inc","OM CN","BYW9WY0","7833878.00000000","1.030000","5958641.47","0.12%"
"Paramount Gold Nevada Corp","PZG","69924M109","3018851.00000000","1.770000","5343366.27","0.10%"
"Tudor Gold Corp","TUD CN","BL56G67","5253590.00000000","1.250000","4849527.38","0.09%"
"Manuka Resources Ltd","MKR AU","BMVB5T9","34010843.00000000","0.200000","4765258.75","0.09%"
"Volcan Cia Minera SAA","VOLCABC1 PE","2236063","16310605.00000000","0.830000","4032588.29","0.08%"
"Silver Mountain Resources Inc","AGMR CN","BM9YFC3","1067342.00000000","4.090000","3223740.93","0.06%"
"Copper Fox Metals Inc","CUU CN","B02SP06","3754656.00000000","0.750000","2079527.38","0.04%"
"IMPACT Silver Corp","IPT CN","2480592","6193702.00000000","0.440000","2012501.48","0.04%"
"Chesapeake Gold Corp","CKG CN","2969886","617986.00000000","3.720000","1697675.97","0.03%"
"Falco Resources Ltd","FPC CN","BPG1NG8","4292549.00000000","0.510000","1616659.89","0.03%"
"Alaska Silver Corp","WAM CN","BVDGYP4","1342806.00000000","1.070000","1061036.38","0.02%"
"Minera Frisco SAB de CV","MFRISCOA MF","B3QHKH2","224964.00000000","13.300000","172480.61","0.00%"
"West Vault Mining Inc","WVM CN","BL0P3K2","20744.00000000","2.100000","32169.55","0.00%"
"Almaden Minerals Ltd","AMM CN","BZ0QMF1","74302.00000000","0.210000","11522.67","0.00%"
"Panoro Minerals Ltd","PML CN","2001551","1500.00000000","0.450000","498.47","0.00%"
"Trevali Mining Corp","TV CN","BPP3CJ1","967999.00000000","0.000000","0.00","0.00%"