Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
LINDE PLC,LIN,G54950103,BNZHB81,13.366679,-,1825880.000,USD
NEWMONT CORP,NEM,651639106,2636607,8.714292,-,4267052.000,USD
FREEPORT MCMORAN INC,FCX,35671D857,2352118,5.883712,-,5614750.000,USD
CRH PLC,CRH,G25508105,B01ZKD6,5.215333,-,2620853.000,USD
SHERWIN WILLIAMS CO/THE,SHW,824348106,2804211,5.142583,-,901420.000,USD
ECOLAB INC,ECL,278865100,2304227,4.535981,-,996795.000,USD
CORTEVA INC,CTVA,22052L104,BK73B42,4.499009,-,3786913.000,USD
NUCOR CORP,NUE,670346105,2651086,4.342626,-,1500228.000,USD
AIR PRODUCTS + CHEMICALS INC,APD,009158106,2011602,4.290238,-,1041520.000,USD
MARTIN MARIETTA MATERIALS,MLM,573284106,2572079,4.156364,-,395404.000,USD
VULCAN MATERIALS CO,VMC,929160109,2931205,4.002739,-,830738.000,USD
PPG INDUSTRIES INC,PPG,693506107,2698470,3.372756,-,1799210.000,USD
STEEL DYNAMICS INC,STLD,858119100,2849472,3.222520,-,1100667.000,USD
SMURFIT WESTROCK PLC,SW,G8267P108,BRK49M5,2.837396,-,4186891.000,USD
ALBEMARLE CORP,ALB,012653101,2046853,2.743531,-,943652.000,USD
INTERNATIONAL PAPER CO,IP,460146103,2465254,2.656668,-,4233824.000,USD
AMCOR PLC,AMCR,G0250X149,BV7DQ55,2.613975,-,3701655.000,USD
PACKAGING CORP OF AMERICA,PKG,695156109,2504566,2.538948,-,716600.000,USD
DOW INC,DOW,260557103,BHXCF84,2.490346,-,5698887.000,USD
DUPONT DE NEMOURS INC,DD,26614N102,BK0VN47,2.410591,-,3359300.000,USD
INTL FLAVORS + FRAGRANCES,IFF,459506101,2464165,2.299431,-,2053389.000,USD
BALL CORP,BALL,058498106,2073022,1.955706,-,2148709.000,USD
CF INDUSTRIES HOLDINGS INC,CF,125269100,B0G4K50,1.892011,-,1250597.000,USD
AVERY DENNISON CORP,AVY,053611109,2066408,1.848583,-,619778.000,USD
LYONDELLBASELL INDU CL A,LYB,N53745100,B3SPXZ3,1.659246,-,2064598.000,USD
MOSAIC CO/THE,MOS,61945C103,B3NPHP6,1.148154,-,2544968.000,USD
XAB MATERIALS     MAR26,IXDH6,ADI30KP47,-,0.014917,-,9000.000,USD